listing_id,brokered_by,status,price,bed,bath,acre_lot,street,city,state,zip_code,house_size,prev_sold_date
10049,52746,for_sale,159000,2,1,0.19,1601673,Birmingham,Alabama,35206,1183,
10050,84178,for_sale,30000,3,2,1.09,535562,Birmingham,Alabama,35235,1980,
10051,53774,for_sale,219900,4,2,0.35,1341916,Center Point,Alabama,35215,1322,7/5/18
10052,53423,for_sale,140000,2,1,0.19,1611850,Birmingham,Alabama,35206,932,8/2/21
10053,30747,for_sale,12000,3,2,0.19,322344,Birmingham,Alabama,35204,1980,
10054,5830,for_sale,32000,3,1,0.2,1623854,Birmingham,Alabama,35206,1124,5/18/21
10055,100007,for_sale,55000,3,1,0.7,249686,Birmingham,Alabama,35206,1030,10/27/89
10056,7706,for_sale,139900,3,2,0.28,1769324,Birmingham,Alabama,35215,1315,12/14/99
10057,58476,for_sale,209000,4,2,0.37,466977,Birmingham,Alabama,35215,2068,2/22/22
10058,105373,for_sale,149900,3,2,0.24,1645625,Birmingham,Alabama,35215,2710,3/5/96
10059,47801,for_sale,200000,3,2,0.91,22207,Birmingham,Alabama,35215,2402,10/12/15
10060,78813,for_sale,159900,2,2,0.12,631350,Birmingham,Alabama,35215,1276,4/13/17
10061,70650,for_sale,220000,3,2,0,147565,Birmingham,Alabama,35235,2236,11/2/21
10062,53423,for_sale,39900,4,1,0.18,353039,Tarrant,Alabama,35217,1568,
10063,53423,for_sale,242000,4,2,0.36,1360879,Pinson,Alabama,35126,2085,8/22/16
10064,53423,for_sale,194500,3,1,0.2,1573248,Birmingham,Alabama,35206,1316,2/10/21
10065,2066,for_sale,105000,3,1,0.29,1768459,Birmingham,Alabama,35215,1199,
10066,55641,for_sale,353900,4,3,0.34,1559637,Pinson,Alabama,35126,2257,
10067,14578,for_sale,92000,3,2,0.31,40251,Birmingham,Alabama,35215,1120,
10068,58757,for_sale,279900,4,4,1,699684,Morris,Alabama,35116,2258,11/23/21
10069,35658,for_sale,62000,3,1,0.18,1543241,Birmingham,Alabama,35212,1148,11/13/03
10070,15064,for_sale,224900,3,2,0.35,147099,Birmingham,Alabama,35215,2444,9/2/20
10071,87565,for_sale,164900,3,1,0.37,1420877,Pinson,Alabama,35126,1092,
10072,29223,for_sale,199900,3,3,0.25,469658,Birmingham,Alabama,35235,1852,5/5/04
10073,53423,for_sale,150000,3,2,0.16,74846,Birmingham,Alabama,35217,1020,9/7/21
10074,29223,for_sale,289900,3,3,0.35,40302,Birmingham,Alabama,35215,2513,10/19/99
10075,53423,for_sale,175000,3,1,0.19,1733984,Birmingham,Alabama,35206,1272,8/12/21
10076,75187,for_sale,239000,3,2,0.39,1599080,Birmingham,Alabama,35215,2132,11/13/09
10077,53423,for_sale,175000,3,1,0.19,1633575,Birmingham,Alabama,35206,1179,3/8/21
10078,53423,for_sale,170000,3,3,0.7,159913,Birmingham,Alabama,35215,1975,3/15/16
10079,109763,for_sale,299900,3,3,1.37,1412670,Pinson,Alabama,35126,2769,
10080,85358,for_sale,190500,3,2,0.62,826130,Center Point,Alabama,35215,1514,2/19/02
10081,56101,for_sale,114900,4,2,0.29,486158,Center Point,Alabama,35215,1181,9/26/18
10082,95892,for_sale,100000,3,2,0.38,792436,Center Point,Alabama,35215,1025,12/21/15
